datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,reduce_type,learn_adjacency,tie_embeddings,tie_aggregator,size_of_cpt,num_edges,max_parents,numparams
data/0,10,4,mlp,4,2,sum,True,True,True,62,9,3,484
data/0,10,4,mlp,4,2,sum,True,True,False,62,9,3,1084
data/0,10,4,mlp,4,4,mean,True,True,True,62,9,3,684
data/0,10,4,mlp,4,4,mean,True,True,False,62,9,3,1884
data/0,10,4,mlp,4,4,sum,True,True,True,62,9,3,684
data/0,10,4,mlp,4,4,sum,True,True,False,62,9,3,1884
data/0,10,4,mlp,4,1,mean,True,False,True,62,9,3,492
data/0,10,4,mlp,4,1,mean,True,False,False,62,9,3,792
data/0,10,4,mlp,4,1,mean,False,False,,62,9,3,392
data/0,10,4,mlp,4,1,sum,True,False,True,62,9,3,492
data/0,10,4,mlp,4,1,sum,True,False,False,62,9,3,792
data/0,10,4,mlp,4,1,sum,False,False,,62,9,3,392
data/0,10,4,mlp,4,2,mean,True,False,True,62,9,3,592
data/0,10,4,mlp,4,2,mean,True,False,False,62,9,3,1192
data/0,10,4,mlp,4,2,sum,True,False,True,62,9,3,592
data/0,10,4,mlp,4,2,sum,True,False,False,62,9,3,1192
data/0,10,4,mlp,4,4,mean,True,False,True,62,9,3,792
data/0,10,4,mlp,4,4,mean,True,False,False,62,9,3,1992
data/0,10,4,mlp,4,4,sum,True,False,True,62,9,3,792
data/0,10,4,mlp,4,4,sum,True,False,False,62,9,3,1992
data/0,10,16,transformer,1,1,,,True,,62,9,3,1872
data/0,10,16,transformer,1,2,,,True,,62,9,3,1872
data/0,10,16,transformer,1,4,,,True,,62,9,3,1872
data/0,10,16,transformer,1,1,,,False,,62,9,3,2304
data/0,10,16,transformer,1,2,,,False,,62,9,3,2304
data/0,10,16,transformer,1,4,,,False,,62,9,3,2304
data/0,10,16,transformer,2,1,,,True,,62,9,3,3504
data/0,10,16,transformer,2,2,,,True,,62,9,3,3504
data/0,10,16,transformer,2,4,,,True,,62,9,3,3504
data/0,10,16,transformer,2,1,,,False,,62,9,3,3936
data/0,10,16,transformer,2,2,,,False,,62,9,3,3936
data/0,10,16,transformer,2,4,,,False,,62,9,3,3936
data/0,10,16,transformer,4,1,,,True,,62,9,3,6768
data/0,10,16,transformer,4,2,,,True,,62,9,3,6768
data/0,10,16,transformer,4,4,,,True,,62,9,3,6768
data/0,10,16,transformer,4,1,,,False,,62,9,3,7200
data/0,10,16,transformer,4,2,,,False,,62,9,3,7200
data/0,10,16,transformer,4,4,,,False,,62,9,3,7200
data/0,10,16,mlp,1,1,mean,True,True,True,62,9,3,948
