datapath,n_features,embedding_dim,aggregator,n_layers,n_heads,i_in_context,size_of_cpt,num_edges,max_parents,numparams
data/3,25,16,transformer,4,1,True,334,43,3,8928
data/3,25,16,transformer,4,1,False,334,43,3,8928
data/3,25,16,transformer,4,2,True,334,43,3,8928
data/3,25,16,transformer,4,2,False,334,43,3,8928
data/3,25,16,transformer,4,4,True,334,43,3,8928
data/3,25,16,transformer,4,4,False,334,43,3,8928
data/3,25,64,transformer,1,1,True,334,43,3,34560
data/3,25,64,transformer,1,1,False,334,43,3,34560
data/3,25,64,transformer,1,2,True,334,43,3,34560
data/3,25,64,transformer,1,2,False,334,43,3,34560
data/3,25,64,transformer,1,4,True,334,43,3,34560
data/3,25,64,transformer,1,4,False,334,43,3,34560
data/3,25,64,transformer,2,1,True,334,43,3,59520
data/3,25,64,transformer,2,1,False,334,43,3,59520
data/3,25,64,transformer,2,2,True,334,43,3,59520
data/3,25,64,transformer,2,2,False,334,43,3,59520
data/3,25,64,transformer,2,4,True,334,43,3,59520
data/3,25,64,transformer,2,4,False,334,43,3,59520
data/3,25,64,transformer,4,1,True,334,43,3,109440
data/3,25,64,transformer,4,1,False,334,43,3,109440
data/3,25,64,transformer,4,2,True,334,43,3,109440
data/3,25,64,transformer,4,2,False,334,43,3,109440
data/3,25,64,transformer,4,4,True,334,43,3,109440
data/3,25,64,transformer,4,4,False,334,43,3,109440
data/6,50,2,transformer,1,1,True,1294,116,3,636
data/6,50,2,transformer,1,1,False,1294,116,3,636
data/6,50,2,transformer,1,2,True,1294,116,3,636
data/6,50,2,transformer,1,2,False,1294,116,3,636
data/6,50,2,transformer,2,1,True,1294,116,3,672
data/6,50,2,transformer,2,1,False,1294,116,3,672
data/6,50,2,transformer,2,2,True,1294,116,3,672
data/6,50,2,transformer,2,2,False,1294,116,3,672
data/6,50,2,transformer,4,1,True,1294,116,3,744
data/6,50,2,transformer,4,1,False,1294,116,3,744
data/6,50,2,transformer,4,2,True,1294,116,3,744
data/6,50,2,transformer,4,2,False,1294,116,3,744
data/6,50,4,transformer,1,1,True,1294,116,3,1320
data/6,50,4,transformer,1,1,False,1294,116,3,1320
data/6,50,4,transformer,1,2,True,1294,116,3,1320
